Class	Length	Reads
rRNAdb-18S-rRNA_Match_Genome	26	4491.00
rRNAdb-18S-rRNA_Match_Genome	27	4397.00
rRNAdb-18S-rRNA_Match_Genome	28	4945.00
rRNAdb-18S-rRNA_Match_Genome	29	7903.00
rRNAdb-18S-rRNA_Match_Genome	30	4624.00
rRNAdb-18S-rRNA_Match_Genome	31	3752.00
rRNAdb-18S-rRNA_Match_Genome	32	3341.00
rRNAdb-18S-rRNA_Match_Genome	33	3364.00
rRNAdb-18S-rRNA_Match_Genome	34	2975.00
rRNAdb-18S-rRNA_Match_Genome	35	2684.00
rRNAdb-18S-rRNA_Match_Genome	36	2355.00
rRNAdb-18S-rRNA_Match_Genome	37	2911.00
rRNAdb-18S-rRNA_Match_Genome	38	1921.00
rRNAdb-18S-rRNA_Match_Genome	39	2098.00
rRNAdb-18S-rRNA_Match_Genome	40	2277.00
rRNAdb-18S-rRNA_Match_Genome	41	1366.00
rRNAdb-28S-rRNA_Match_Genome	17	12983.00
rRNAdb-28S-rRNA_Match_Genome	18	11410.00
rRNAdb-28S-rRNA_Match_Genome	19	11274.00
rRNAdb-28S-rRNA_Match_Genome	20	9057.00
rRNAdb-28S-rRNA_Match_Genome	21	10303.00
rRNAdb-28S-rRNA_Match_Genome	22	14963.00
rRNAdb-28S-rRNA_Match_Genome	23	17730.00
rRNAdb-28S-rRNA_Match_Genome	24	12785.00
rRNAdb-28S-rRNA_Match_Genome	25	15746.00
rRNAdb-28S-rRNA_Match_Genome	26	15199.00
rRNAdb-28S-rRNA_Match_Genome	27	11852.00
rRNAdb-28S-rRNA_Match_Genome	28	14887.00
rRNAdb-28S-rRNA_Match_Genome	29	8590.00
rRNAdb-28S-rRNA_Match_Genome	30	11704.00
rRNAdb-28S-rRNA_Match_Genome	31	11351.00
rRNAdb-28S-rRNA_Match_Genome	32	7952.00
rRNAdb-28S-rRNA_Match_Genome	33	8244.00
rRNAdb-28S-rRNA_Match_Genome	34	8605.00
rRNAdb-28S-rRNA_Match_Genome	35	14580.00
rRNAdb-28S-rRNA_Match_Genome	36	9924.00
rRNAdb-28S-rRNA_Match_Genome	37	6290.00
rRNAdb-28S-rRNA_Match_Genome	38	6075.00
rRNAdb-28S-rRNA_Match_Genome	39	4158.00
rRNAdb-28S-rRNA_Match_Genome	40	2572.00
rRNAdb-28S-rRNA_Match_Genome	41	3599.00
rRNAdb-4.5S-rRNA_Match_Genome	17	105.00
rRNAdb-4.5S-rRNA_Match_Genome	18	151.00
rRNAdb-4.5S-rRNA_Match_Genome	19	221.00
rRNAdb-4.5S-rRNA_Match_Genome	20	212.00
rRNAdb-4.5S-rRNA_Match_Genome	21	234.00
rRNAdb-4.5S-rRNA_Match_Genome	22	518.00
rRNAdb-4.5S-rRNA_Match_Genome	23	300.00
rRNAdb-4.5S-rRNA_Match_Genome	24	205.00
rRNAdb-4.5S-rRNA_Match_Genome	25	239.00
rRNAdb-4.5S-rRNA_Match_Genome	26	120.00
rRNAdb-4.5S-rRNA_Match_Genome	27	135.00
rRNAdb-4.5S-rRNA_Match_Genome	28	89.00
rRNAdb-4.5S-rRNA_Match_Genome	29	139.00
rRNAdb-4.5S-rRNA_Match_Genome	30	239.00
rRNAdb-4.5S-rRNA_Match_Genome	31	178.00
rRNAdb-4.5S-rRNA_Match_Genome	32	238.00
rRNAdb-4.5S-rRNA_Match_Genome	33	105.00
rRNAdb-4.5S-rRNA_Match_Genome	34	89.00
rRNAdb-4.5S-rRNA_Match_Genome	35	50.00
rRNAdb-4.5S-rRNA_Match_Genome	36	91.00
rRNAdb-4.5S-rRNA_Match_Genome	37	62.00
rRNAdb-4.5S-rRNA_Match_Genome	38	58.00
rRNAdb-4.5S-rRNA_Match_Genome	39	62.00
rRNAdb-4.5S-rRNA_Match_Genome	40	58.00
rRNAdb-4.5S-rRNA_Match_Genome	41	66.00
rRNAdb-45S-rRNA_Match_Genome	17	717.00
rRNAdb-45S-rRNA_Match_Genome	18	707.00
rRNAdb-45S-rRNA_Match_Genome	19	295.00
rRNAdb-45S-rRNA_Match_Genome	20	314.00
rRNAdb-45S-rRNA_Match_Genome	21	289.00
rRNAdb-45S-rRNA_Match_Genome	22	330.00
rRNAdb-45S-rRNA_Match_Genome	23	198.00
rRNAdb-45S-rRNA_Match_Genome	24	214.00
rRNAdb-45S-rRNA_Match_Genome	25	214.00
rRNAdb-45S-rRNA_Match_Genome	26	373.00
rRNAdb-45S-rRNA_Match_Genome	27	499.00
rRNAdb-45S-rRNA_Match_Genome	28	414.00
rRNAdb-45S-rRNA_Match_Genome	29	233.00
rRNAdb-45S-rRNA_Match_Genome	30	275.00
rRNAdb-45S-rRNA_Match_Genome	31	324.00
rRNAdb-45S-rRNA_Match_Genome	32	166.00
rRNAdb-45S-rRNA_Match_Genome	33	155.00
rRNAdb-45S-rRNA_Match_Genome	34	160.00
rRNAdb-45S-rRNA_Match_Genome	35	128.00
rRNAdb-45S-rRNA_Match_Genome	36	191.00
rRNAdb-45S-rRNA_Match_Genome	37	385.00
rRNAdb-45S-rRNA_Match_Genome	38	490.00
rRNAdb-45S-rRNA_Match_Genome	39	603.00
rRNAdb-45S-rRNA_Match_Genome	40	294.00
rRNAdb-45S-rRNA_Match_Genome	41	107.00
rRNAdb-5.8S-rRNA_Match_Genome	17	1160.00
rRNAdb-5.8S-rRNA_Match_Genome	18	1085.00
rRNAdb-5.8S-rRNA_Match_Genome	19	1524.00
rRNAdb-5.8S-rRNA_Match_Genome	20	1498.00
rRNAdb-5.8S-rRNA_Match_Genome	21	922.00
rRNAdb-5.8S-rRNA_Match_Genome	22	488.00
rRNAdb-5.8S-rRNA_Match_Genome	23	178.00
rRNAdb-5.8S-rRNA_Match_Genome	24	144.00
rRNAdb-5.8S-rRNA_Match_Genome	25	215.00
rRNAdb-5.8S-rRNA_Match_Genome	26	289.00
rRNAdb-5.8S-rRNA_Match_Genome	27	92.00
rRNAdb-5.8S-rRNA_Match_Genome	28	22.00
rRNAdb-5.8S-rRNA_Match_Genome	29	5.00
rRNAdb-5.8S-rRNA_Match_Genome	30	10.00
rRNAdb-5.8S-rRNA_Match_Genome	33	30.00
rRNAdb-5S-rRNA_Match_Genome	17	1311.00
rRNAdb-5S-rRNA_Match_Genome	18	1101.00
rRNAdb-5S-rRNA_Match_Genome	19	1000.00
rRNAdb-5S-rRNA_Match_Genome	20	874.00
rRNAdb-5S-rRNA_Match_Genome	21	1008.00
rRNAdb-5S-rRNA_Match_Genome	22	1404.00
rRNAdb-5S-rRNA_Match_Genome	23	1152.00
rRNAdb-5S-rRNA_Match_Genome	24	877.00
rRNAdb-5S-rRNA_Match_Genome	25	827.00
rRNAdb-5S-rRNA_Match_Genome	26	439.00
rRNAdb-5S-rRNA_Match_Genome	27	442.00
rRNAdb-5S-rRNA_Match_Genome	28	362.00
rRNAdb-5S-rRNA_Match_Genome	29	1082.00
rRNAdb-5S-rRNA_Match_Genome	30	1156.00
rRNAdb-5S-rRNA_Match_Genome	31	1084.00
rRNAdb-5S-rRNA_Match_Genome	32	1392.00
rRNAdb-5S-rRNA_Match_Genome	33	4183.00
rRNAdb-5S-rRNA_Match_Genome	34	2822.00
rRNAdb-5S-rRNA_Match_Genome	35	1158.00
rRNAdb-5S-rRNA_Match_Genome	36	1361.00
rRNAdb-5S-rRNA_Match_Genome	37	913.00
rRNAdb-5S-rRNA_Match_Genome	38	1074.00
rRNAdb-5S-rRNA_Match_Genome	39	2002.00
rRNAdb-5S-rRNA_Match_Genome	40	387.00
rRNAdb-5S-rRNA_Match_Genome	41	616.00
rRNAdb-rRNA_Unmatch_Genome	17	2800.00
rRNAdb-rRNA_Unmatch_Genome	18	3189.00
rRNAdb-rRNA_Unmatch_Genome	19	6572.00
rRNAdb-rRNA_Unmatch_Genome	20	8720.00
rRNAdb-rRNA_Unmatch_Genome	21	8349.00
rRNAdb-rRNA_Unmatch_Genome	22	10138.00
rRNAdb-rRNA_Unmatch_Genome	23	5792.00
rRNAdb-rRNA_Unmatch_Genome	24	5346.00
rRNAdb-rRNA_Unmatch_Genome	25	7973.00
rRNAdb-rRNA_Unmatch_Genome	26	9702.00
rRNAdb-rRNA_Unmatch_Genome	27	8938.00
rRNAdb-rRNA_Unmatch_Genome	28	6850.00
rRNAdb-rRNA_Unmatch_Genome	29	8059.00
rRNAdb-rRNA_Unmatch_Genome	30	10625.00
rRNAdb-rRNA_Unmatch_Genome	31	9855.00
rRNAdb-rRNA_Unmatch_Genome	32	5664.00
rRNAdb-rRNA_Unmatch_Genome	33	9650.00
rRNAdb-rRNA_Unmatch_Genome	34	11108.00
rRNAdb-rRNA_Unmatch_Genome	35	22257.00
rRNAdb-rRNA_Unmatch_Genome	36	55427.00
rRNAdb-rRNA_Unmatch_Genome	37	11136.00
rRNAdb-rRNA_Unmatch_Genome	38	3438.00
rRNAdb-rRNA_Unmatch_Genome	39	3371.00
rRNAdb-rRNA_Unmatch_Genome	40	2909.00
rRNAdb-rRNA_Unmatch_Genome	41	2959.00
rRNAdb-18S-rRNA_Unmatch_Genome	17	3.00
rRNAdb-18S-rRNA_Unmatch_Genome	18	6.00
rRNAdb-18S-rRNA_Unmatch_Genome	19	7.00
rRNAdb-18S-rRNA_Unmatch_Genome	20	14.00
rRNAdb-18S-rRNA_Unmatch_Genome	21	24.00
rRNAdb-18S-rRNA_Unmatch_Genome	22	89.00
rRNAdb-18S-rRNA_Unmatch_Genome	23	37.00
rRNAdb-18S-rRNA_Unmatch_Genome	24	35.00
rRNAdb-18S-rRNA_Unmatch_Genome	25	44.00
rRNAdb-18S-rRNA_Unmatch_Genome	26	44.00
rRNAdb-18S-rRNA_Unmatch_Genome	27	44.00
rRNAdb-18S-rRNA_Unmatch_Genome	28	59.00
rRNAdb-18S-rRNA_Unmatch_Genome	29	44.00
rRNAdb-18S-rRNA_Unmatch_Genome	30	37.00
rRNAdb-18S-rRNA_Unmatch_Genome	31	51.00
rRNAdb-18S-rRNA_Unmatch_Genome	32	49.00
rRNAdb-18S-rRNA_Unmatch_Genome	33	63.00
rRNAdb-18S-rRNA_Unmatch_Genome	34	56.00
rRNAdb-18S-rRNA_Unmatch_Genome	35	101.00
rRNAdb-18S-rRNA_Unmatch_Genome	36	148.00
rRNAdb-18S-rRNA_Unmatch_Genome	37	150.00
rRNAdb-18S-rRNA_Unmatch_Genome	38	139.00
rRNAdb-18S-rRNA_Unmatch_Genome	39	164.00
rRNAdb-18S-rRNA_Unmatch_Genome	40	95.00
rRNAdb-18S-rRNA_Unmatch_Genome	41	88.00
rRNAdb-28S-rRNA_Unmatch_Genome	17	2007.00
rRNAdb-28S-rRNA_Unmatch_Genome	18	2695.00
rRNAdb-28S-rRNA_Unmatch_Genome	19	5570.00
rRNAdb-28S-rRNA_Unmatch_Genome	20	7246.00
rRNAdb-28S-rRNA_Unmatch_Genome	21	4721.00
rRNAdb-28S-rRNA_Unmatch_Genome	22	3332.00
rRNAdb-28S-rRNA_Unmatch_Genome	23	2711.00
rRNAdb-28S-rRNA_Unmatch_Genome	24	2483.00
rRNAdb-28S-rRNA_Unmatch_Genome	25	3185.00
rRNAdb-28S-rRNA_Unmatch_Genome	26	2964.00
rRNAdb-28S-rRNA_Unmatch_Genome	27	3233.00
rRNAdb-28S-rRNA_Unmatch_Genome	28	3157.00
rRNAdb-28S-rRNA_Unmatch_Genome	29	3934.00
rRNAdb-28S-rRNA_Unmatch_Genome	30	6648.00
rRNAdb-28S-rRNA_Unmatch_Genome	31	7381.00
rRNAdb-28S-rRNA_Unmatch_Genome	32	3966.00
rRNAdb-28S-rRNA_Unmatch_Genome	33	7885.00
rRNAdb-28S-rRNA_Unmatch_Genome	34	9756.00
rRNAdb-28S-rRNA_Unmatch_Genome	35	21158.00
rRNAdb-28S-rRNA_Unmatch_Genome	36	54440.00
rRNAdb-28S-rRNA_Unmatch_Genome	37	9926.00
rRNAdb-28S-rRNA_Unmatch_Genome	38	2531.00
rRNAdb-28S-rRNA_Unmatch_Genome	39	2377.00
rRNAdb-28S-rRNA_Unmatch_Genome	40	1104.00
rRNAdb-28S-rRNA_Unmatch_Genome	41	1228.00
rRNAdb-45S-rRNA_Unmatch_Genome	17	674.00
rRNAdb-45S-rRNA_Unmatch_Genome	18	340.00
rRNAdb-45S-rRNA_Unmatch_Genome	19	626.00
rRNAdb-45S-rRNA_Unmatch_Genome	20	414.00
rRNAdb-45S-rRNA_Unmatch_Genome	21	1257.00
rRNAdb-45S-rRNA_Unmatch_Genome	22	4800.00
rRNAdb-45S-rRNA_Unmatch_Genome	23	1656.00
rRNAdb-45S-rRNA_Unmatch_Genome	24	1433.00
rRNAdb-45S-rRNA_Unmatch_Genome	25	1122.00
rRNAdb-45S-rRNA_Unmatch_Genome	26	3084.00
rRNAdb-45S-rRNA_Unmatch_Genome	27	3130.00
rRNAdb-45S-rRNA_Unmatch_Genome	28	2346.00
rRNAdb-45S-rRNA_Unmatch_Genome	29	1084.00
rRNAdb-45S-rRNA_Unmatch_Genome	30	1845.00
rRNAdb-45S-rRNA_Unmatch_Genome	31	1603.00
rRNAdb-45S-rRNA_Unmatch_Genome	32	688.00
rRNAdb-45S-rRNA_Unmatch_Genome	33	714.00
rRNAdb-45S-rRNA_Unmatch_Genome	34	739.00
rRNAdb-45S-rRNA_Unmatch_Genome	35	417.00
rRNAdb-45S-rRNA_Unmatch_Genome	36	406.00
rRNAdb-45S-rRNA_Unmatch_Genome	37	596.00
rRNAdb-45S-rRNA_Unmatch_Genome	38	350.00
rRNAdb-45S-rRNA_Unmatch_Genome	39	305.00
rRNAdb-45S-rRNA_Unmatch_Genome	40	266.00
rRNAdb-45S-rRNA_Unmatch_Genome	41	250.00
rRNAdb-5.8S-rRNA_Unmatch_Genome	17	116.00
rRNAdb-5.8S-rRNA_Unmatch_Genome	18	148.00
rRNAdb-5.8S-rRNA_Unmatch_Genome	19	369.00
rRNAdb-5.8S-rRNA_Unmatch_Genome	20	1046.00
rRNAdb-5.8S-rRNA_Unmatch_Genome	21	2347.00
rRNAdb-5.8S-rRNA_Unmatch_Genome	22	1917.00
rRNAdb-5.8S-rRNA_Unmatch_Genome	23	1388.00
rRNAdb-5.8S-rRNA_Unmatch_Genome	24	1395.00
rRNAdb-5.8S-rRNA_Unmatch_Genome	25	3622.00
rRNAdb-5.8S-rRNA_Unmatch_Genome	26	3610.00
rRNAdb-5.8S-rRNA_Unmatch_Genome	27	2531.00
rRNAdb-5.8S-rRNA_Unmatch_Genome	28	1288.00
rRNAdb-5.8S-rRNA_Unmatch_Genome	29	2997.00
rRNAdb-5.8S-rRNA_Unmatch_Genome	30	2095.00
rRNAdb-5.8S-rRNA_Unmatch_Genome	31	820.00
rRNAdb-5.8S-rRNA_Unmatch_Genome	32	961.00
rRNAdb-5.8S-rRNA_Unmatch_Genome	33	988.00
rRNAdb-5.8S-rRNA_Unmatch_Genome	34	557.00
rRNAdb-5.8S-rRNA_Unmatch_Genome	35	581.00
rRNAdb-5.8S-rRNA_Unmatch_Genome	36	433.00
rRNAdb-5.8S-rRNA_Unmatch_Genome	37	464.00
rRNAdb-5.8S-rRNA_Unmatch_Genome	38	418.00
rRNAdb-5.8S-rRNA_Unmatch_Genome	39	525.00
rRNAdb-5.8S-rRNA_Unmatch_Genome	40	1444.00
rRNAdb-5.8S-rRNA_Unmatch_Genome	41	1393.00
GtRNAdb-tRNA_Match_Genome	17	3462.00
GtRNAdb-tRNA_Match_Genome	18	12430.00
GtRNAdb-tRNA_Match_Genome	19	4032.00
GtRNAdb-tRNA_Match_Genome	20	2469.00
GtRNAdb-tRNA_Match_Genome	21	3389.00
GtRNAdb-tRNA_Match_Genome	22	16693.00
GtRNAdb-tRNA_Match_Genome	23	4468.00
GtRNAdb-tRNA_Match_Genome	24	10663.00
GtRNAdb-tRNA_Match_Genome	25	8279.00
GtRNAdb-tRNA_Match_Genome	26	10368.00
GtRNAdb-tRNA_Match_Genome	27	56037.00
GtRNAdb-tRNA_Match_Genome	28	285350.00
GtRNAdb-tRNA_Match_Genome	29	251849.00
GtRNAdb-tRNA_Match_Genome	30	1209805.00
GtRNAdb-tRNA_Match_Genome	31	564484.00
GtRNAdb-tRNA_Match_Genome	32	345192.00
GtRNAdb-tRNA_Match_Genome	33	184861.00
GtRNAdb-tRNA_Match_Genome	34	65259.00
GtRNAdb-tRNA_Match_Genome	35	12780.00
GtRNAdb-tRNA_Match_Genome	36	5044.00
GtRNAdb-tRNA_Match_Genome	37	6881.00
GtRNAdb-tRNA_Match_Genome	38	1977.00
GtRNAdb-tRNA_Match_Genome	39	1039.00
GtRNAdb-tRNA_Match_Genome	40	1088.00
GtRNAdb-tRNA_Match_Genome	41	1335.00
GtRNAdb-tRNA_5_end_Match_Genome	17	969.00
GtRNAdb-tRNA_5_end_Match_Genome	18	9681.00
GtRNAdb-tRNA_5_end_Match_Genome	19	2138.00
GtRNAdb-tRNA_5_end_Match_Genome	20	358.00
GtRNAdb-tRNA_5_end_Match_Genome	21	955.00
GtRNAdb-tRNA_5_end_Match_Genome	22	544.00
GtRNAdb-tRNA_5_end_Match_Genome	23	1994.00
GtRNAdb-tRNA_5_end_Match_Genome	24	9634.00
GtRNAdb-tRNA_5_end_Match_Genome	25	6268.00
GtRNAdb-tRNA_5_end_Match_Genome	26	6991.00
GtRNAdb-tRNA_5_end_Match_Genome	27	51538.07
GtRNAdb-tRNA_5_end_Match_Genome	28	275018.00
GtRNAdb-tRNA_5_end_Match_Genome	29	238345.00
GtRNAdb-tRNA_5_end_Match_Genome	30	1199776.00
GtRNAdb-tRNA_5_end_Match_Genome	31	544400.00
GtRNAdb-tRNA_5_end_Match_Genome	32	328725.00
GtRNAdb-tRNA_5_end_Match_Genome	33	175507.00
GtRNAdb-tRNA_5_end_Match_Genome	34	61057.00
GtRNAdb-tRNA_5_end_Match_Genome	35	7521.00
GtRNAdb-tRNA_5_end_Match_Genome	36	2038.00
GtRNAdb-tRNA_5_end_Match_Genome	37	3736.00
GtRNAdb-tRNA_5_end_Match_Genome	38	147.00
GtRNAdb-tRNA_5_end_Match_Genome	39	153.00
GtRNAdb-tRNA_5_end_Match_Genome	40	136.00
GtRNAdb-tRNA_5_end_Match_Genome	41	310.00
GtRNAdb-tRNA_3_end_Match_Genome	17	42.48
GtRNAdb-tRNA_3_end_Match_Genome	18	34.46
GtRNAdb-tRNA_3_end_Match_Genome	19	41.41
GtRNAdb-tRNA_3_end_Match_Genome	20	20.62
GtRNAdb-tRNA_3_end_Match_Genome	21	35.92
GtRNAdb-tRNA_3_end_Match_Genome	22	25.00
GtRNAdb-tRNA_3_end_Match_Genome	23	44.00
GtRNAdb-tRNA_3_end_Match_Genome	24	13.00
GtRNAdb-tRNA_3_end_Match_Genome	25	24.00
GtRNAdb-tRNA_3_end_Match_Genome	26	87.00
GtRNAdb-tRNA_3_end_Match_Genome	27	63.00
GtRNAdb-tRNA_3_end_Match_Genome	28	160.12
GtRNAdb-tRNA_3_end_Match_Genome	29	91.00
GtRNAdb-tRNA_3_end_Match_Genome	30	203.67
GtRNAdb-tRNA_3_end_Match_Genome	31	406.00
GtRNAdb-tRNA_3_end_Match_Genome	32	366.00
GtRNAdb-tRNA_3_end_Match_Genome	33	377.69
GtRNAdb-tRNA_3_end_Match_Genome	34	584.80
GtRNAdb-tRNA_3_end_Match_Genome	35	2697.00
GtRNAdb-tRNA_3_end_Match_Genome	36	318.75
GtRNAdb-tRNA_3_end_Match_Genome	37	1636.25
GtRNAdb-tRNA_3_end_Match_Genome	38	980.00
GtRNAdb-tRNA_3_end_Match_Genome	39	161.00
GtRNAdb-tRNA_3_end_Match_Genome	40	76.00
GtRNAdb-tRNA_3_end_Match_Genome	41	126.00
GtRNAdb-tRNA_CCA_end_Match_Genome	17	41.48
GtRNAdb-tRNA_CCA_end_Match_Genome	18	88.29
GtRNAdb-tRNA_CCA_end_Match_Genome	19	33.18
GtRNAdb-tRNA_CCA_end_Match_Genome	20	65.64
GtRNAdb-tRNA_CCA_end_Match_Genome	21	445.57
GtRNAdb-tRNA_CCA_end_Match_Genome	22	4106.83
GtRNAdb-tRNA_CCA_end_Match_Genome	23	173.12
GtRNAdb-tRNA_CCA_end_Match_Genome	24	4.50
GtRNAdb-tRNA_CCA_end_Match_Genome	25	5.00
GtRNAdb-tRNA_CCA_end_Match_Genome	26	1.00
GtRNAdb-tRNA_CCA_end_Match_Genome	27	2.00
GtRNAdb-tRNA_CCA_end_Match_Genome	28	7.00
GtRNAdb-tRNA_CCA_end_Match_Genome	29	12.00
GtRNAdb-tRNA_CCA_end_Match_Genome	30	35.00
GtRNAdb-tRNA_CCA_end_Match_Genome	31	2.00
GtRNAdb-tRNA_CCA_end_Match_Genome	32	6.00
GtRNAdb-tRNA_CCA_end_Match_Genome	33	1.00
GtRNAdb-tRNA_CCA_end_Match_Genome	34	7.00
GtRNAdb-tRNA_CCA_end_Match_Genome	35	4.00
GtRNAdb-tRNA_CCA_end_Match_Genome	36	10.00
GtRNAdb-tRNA_CCA_end_Match_Genome	37	26.00
GtRNAdb-tRNA_CCA_end_Match_Genome	38	5.00
GtRNAdb-tRNA_CCA_end_Match_Genome	39	9.00
GtRNAdb-tRNA_CCA_end_Match_Genome	40	1.00
GtRNAdb-tRNA_CCA_end_Match_Genome	41	2.00
GtRNAdb-tRNA_Unmatch_Genome	17	13.00
GtRNAdb-tRNA_Unmatch_Genome	18	68.00
GtRNAdb-tRNA_Unmatch_Genome	19	104.00
GtRNAdb-tRNA_Unmatch_Genome	20	275.00
GtRNAdb-tRNA_Unmatch_Genome	21	411.00
GtRNAdb-tRNA_Unmatch_Genome	22	3682.00
GtRNAdb-tRNA_Unmatch_Genome	23	133.00
GtRNAdb-tRNA_Unmatch_Genome	24	143.00
GtRNAdb-tRNA_Unmatch_Genome	25	77.00
GtRNAdb-tRNA_Unmatch_Genome	26	208.00
GtRNAdb-tRNA_Unmatch_Genome	27	744.00
GtRNAdb-tRNA_Unmatch_Genome	28	3126.00
GtRNAdb-tRNA_Unmatch_Genome	29	4997.00
GtRNAdb-tRNA_Unmatch_Genome	30	1546.00
GtRNAdb-tRNA_Unmatch_Genome	31	3173.00
GtRNAdb-tRNA_Unmatch_Genome	32	1221.00
